time,spi_weighted_maize,spi_weighted_wheat,spi_weighted_sorghum
1999-10-01,-0.856992383366079,-1.482505729379389,-0.78434212919284
1999-11-01,-0.057229526118877855,-0.7659476430520977,0.30017850849560707
1999-12-01,-0.056514188113987535,-0.5367466846526104,0.14959593103025035
2000-01-01,-0.18115213172663314,-0.5912047415778402,0.02369235401265047
2000-02-01,-0.38390623012295766,-0.902411267445599,-0.17033000987376454
2000-03-01,-0.6084238970412167,-1.0467540971279088,-0.43666026554811394
2000-04-01,-1.0653633700433423,-1.3735399082484154,-0.6731477281844179
2000-05-01,-1.5150962988680723,-1.8121155666894917,-1.5211735490022011
2000-06-01,-1.7934935002553332,-2.166214712194686,-1.7684548110200438
2000-07-01,-1.5426120634581195,-2.0582671226192164,-1.5153784198779732
2000-08-01,-1.2861103052036096,-1.7891836500351541,-1.3541160262957967
2000-09-01,-1.0751727144692693,-1.618107125366833,-1.0194560965470696
2000-10-01,-0.8300487493388172,-1.3549024107222134,-0.9638096263080499
2000-11-01,-0.21155048968653806,-0.4118847753310124,-0.08032219170487297
2000-12-01,-0.03288890216401018,-0.17466327171969043,0.054762692615138046
2001-01-01,0.46870761431589003,0.5621786966423321,0.3899245520798925
2001-02-01,0.37487865183215086,0.5010837740582789,0.3540251205983751
2001-03-01,0.5624079595037834,0.6587038949128573,0.4628904228436121
2001-04-01,0.5123092648778225,0.5773026587643466,0.533768655799553
2001-05-01,0.3675294131788182,0.19891276016046855,0.38393486378954694
2001-06-01,0.4533119983177682,0.32262014159380326,0.3525051972558924
2001-07-01,-0.06578531418198917,-0.1582207867394057,-0.1310539726013922
2001-08-01,-0.06559286891704523,-0.10370400267700348,-0.07215242398562677
2001-09-01,-0.1694173157625211,-0.19215170210873742,-0.12022881977768445
2001-10-01,-0.3251455664530953,-0.25233650713673633,-0.6605636022767144
2001-11-01,0.2903752742007912,0.21338935781438048,0.39904238896349065
2001-12-01,-0.16380784792563016,-0.168968723800874,-0.04038939425605577
2002-01-01,-0.005508048286380244,-0.0038622333099324843,0.0638571942417857
2002-02-01,0.0010382258835537513,-0.04655972098022052,0.019597558150524226
2002-03-01,0.1367734456951133,0.13737421002204184,0.1166099478468058
2002-04-01,0.16095759868564505,0.07838836693862243,0.4289455257918622
2002-05-01,0.07109980610233527,0.1816908417297099,0.28653764893295014
2002-06-01,0.3076578167166698,0.29059416874428035,0.7028198465855218
2002-07-01,0.06812625619345347,-0.008650553898469348,0.5993255289116451
2002-08-01,0.05689095870494467,-0.042907651261645606,0.575250667038945
2002-09-01,-0.38282921309276735,-0.42667265170531354,0.16509947997355573
2002-10-01,-0.3066512397327961,-0.39577387551564674,-0.007729643712551946
2002-11-01,-0.5093956406879122,-0.6916857880599512,-0.12464424858067295
2002-12-01,0.1083626750090074,0.2778055179243088,0.30078368207820094
2003-01-01,0.12036629425110042,0.4393318260011808,0.20975765134238983
2003-02-01,0.1312069862963836,0.42904679207363744,0.24763604555860305
2003-03-01,0.16028570742755835,0.5222255331168622,0.19358276387949236
2003-04-01,0.18033577882156174,0.4210680097221211,0.19998922389483906
2003-05-01,0.39000104301124167,0.9141799409361951,0.23102453909731147
2003-06-01,-0.019923085907817134,0.443682288284356,-0.16491316917683327
2003-07-01,0.0679054710437658,0.35028093831408696,0.0011410795037627396
2003-08-01,0.38935637663364575,0.8304822272823642,0.25355219855110295
2003-09-01,0.5348830612968051,0.9291608517979808,0.453717858548219
2003-10-01,0.3927975252983712,1.0463103320586418,0.3783362148749032
2003-11-01,-0.4021923748431292,-0.062287222408831146,-0.3650530534980453
2003-12-01,-0.5028392599362767,-0.24598109995468295,-0.41386686982328047
2004-01-01,-0.17345006495159543,0.27051508559960585,-0.1813457001605423
2004-02-01,-0.41423033818999083,-0.2742606136637478,-0.29540965328915575
2004-03-01,-0.46865137235368676,-0.1452338006646273,-0.44606044773409426
2004-04-01,-0.13479073537169692,0.18862435195675378,-0.32733215449340936
2004-05-01,-0.30830849011607386,0.3244030540938579,-0.5455085772212336
2004-06-01,-0.39702062964425905,0.28160498912279575,-0.6262596398334423
2004-07-01,-0.8666438788618972,-0.20228673076163636,-1.0136739883624022
2004-08-01,-0.9826603306232947,-0.3904052786221488,-1.1615136656618692
2004-09-01,-0.709197457797229,-0.4411596502922904,-0.7723498160297089
2004-10-01,-1.1361181830313853,-1.2202545845257053,-0.8895884703686764
2004-11-01,-0.6556943193085293,-1.3220370064535736,-0.4073569104733623
2004-12-01,-0.3946609976433836,-0.8946391527005999,-0.1941536272820908
2005-01-01,-0.16691731428763604,-0.5918660232691478,-0.11288268777133623
2005-02-01,-0.1679588114800819,-0.4022002327193617,-0.14544014719971599
2005-03-01,-0.3057834651396723,-0.3311414511288551,-0.3702072998935659
2005-04-01,-0.4256764220921291,-0.39683551521852556,-0.5996180460201388
2005-05-01,-0.14246810175300054,-0.07637345081393514,-0.2978578501135561
2005-06-01,-0.32508751112648177,-0.24874900942949668,-0.4980247981091596
2005-07-01,-0.387874484672017,-0.29900671206798785,-0.4269606282655985
2005-08-01,-0.3298804494836238,-0.1709019859001345,-0.31338054167233304
2005-09-01,-0.39454392138071587,-0.140719318591222,-0.37302599948646686
2005-10-01,-0.3605088197476066,-0.07847197925146461,-0.2658917293002064
2005-11-01,-1.2228474434516734,-0.8932342339985659,-1.1908584012866883
2005-12-01,-1.3898492133973526,-1.0496821334012287,-1.4489215060443552
2006-01-01,-1.3940943322854222,-1.050828771400361,-1.4820823511162216
2006-02-01,-1.3401588044862673,-1.0796376237216894,-1.4899191984336795
2006-03-01,-0.9794345026342676,-0.7894177346524935,-1.1312988037405864
2006-04-01,-0.4478531455341232,-0.3719966270132292,-0.7083924242064145
2006-05-01,-0.027447502193387017,-0.029172732185045548,-0.074601418678647
2006-06-01,0.3865547014516035,0.05554696976718452,0.637457081810303
2006-07-01,0.40940159497608686,0.036819515663862726,0.7100031331488957
2006-08-01,0.3490198518000342,0.07452593002516382,0.6790355777524375
2006-09-01,0.22427448077939133,-0.20476585813164758,0.6224587238415437
2006-10-01,-0.1252242293258759,-0.6530089713068331,0.391050877587615
2006-11-01,0.8335009281706691,0.31477530696144923,1.332828070598061
2006-12-01,1.3391266997356597,1.043890035081759,1.7635404553749305
2007-01-01,1.5080445328384207,1.3174898193131506,1.807776575954341
2007-02-01,1.7395785388165916,1.6200826251547278,1.9064751848476928
2007-03-01,1.5513253242202247,1.4017694414191137,1.831835181223761
2007-04-01,1.316663470765173,1.215947687696572,1.6290738983527684
2007-05-01,0.6885321866369168,0.5847052768466918,0.9410331462508335
2007-06-01,-0.011520046979937795,0.2390344750956376,-0.23653101290206718
2007-07-01,0.06204052683221146,0.26991143333695716,-0.152249562854299
2007-08-01,-0.14692127388566353,-0.05224920226639328,-0.29639433918336583
2007-09-01,0.23829825024877982,0.4645478692605866,-0.18557675375240573
2007-10-01,0.3584217045690713,0.5483136506411485,0.10500366719067382
2007-11-01,-0.03053210219241325,0.2367409302901396,-0.27279027254891147
2007-12-01,-0.20831401869815763,-0.031394292099565776,-0.4243577370377643
2008-01-01,-0.32349076996334153,-0.3132736390338394,-0.4492831725579214
2008-02-01,-0.43528511826528304,-0.42889761111879526,-0.49425900032273506
2008-03-01,-0.522937878786073,-0.5894588911309311,-0.28584539750350135
2008-04-01,-0.7452178979668417,-0.9504826670711705,-0.5287612482886198
2008-05-01,-0.7224088015727139,-1.0518133510009509,-0.5045555262061437
2008-06-01,-0.6533310710803526,-1.1772011399167093,-0.30324283053683054
2008-07-01,-0.48788289190647316,-1.1695835765028721,-0.20921952115439135
2008-08-01,-0.36475830405998116,-1.1954684279319698,-0.1363412342422051
2008-09-01,-0.8457058483801269,-1.5231485973693546,-0.8452824178320212
2008-10-01,-0.2549443961510095,-0.8526863559680427,-0.23163421233624298
2008-11-01,0.0029373700494230775,-0.2664853180144737,-0.1684291980364446
2008-12-01,-0.20865409539404176,-0.29502330247240777,-0.47515447053978216
2009-01-01,-0.21276879975577745,-0.2354790532987502,-0.4611430155063569
2009-02-01,-0.3851933085868058,-0.25857527721413365,-0.5238809424670278
2009-03-01,-0.780660402824871,-0.7278869671901703,-0.8971078310983909
2009-04-01,-1.1028739525761582,-1.251551372245229,-1.2317705279594853
2009-05-01,-1.2656818187484908,-0.9394541751358078,-1.4541395518644846
2009-06-01,-1.2287455317257192,-1.0418098942027543,-1.3154090913643786
2009-07-01,-1.4680018188058748,-1.339967677883122,-1.5302843305827178
2009-08-01,-1.459929985438196,-1.3997390646843724,-1.5440397716494003
2009-09-01,-0.9900783671207578,-1.1750242309565384,-0.938443921466264
2009-10-01,-0.6926720509843466,-1.0330119980545809,-0.2784165710195222
2009-11-01,-1.01519218881458,-1.75467867578561,-0.7413200181892907
2009-12-01,-0.18577301729710005,-0.40343653762714576,-0.10727034563504133
2010-01-01,0.08180047374692512,0.059487819609352156,0.021968119318639852
2010-02-01,0.6771241047319128,1.0059759701797126,0.3202155610599514
2010-03-01,0.9801662854162284,1.4184469930021977,0.6844674964512212
2010-04-01,0.8460746274154158,1.188710760419644,0.5907831536697157
2010-05-01,1.3928752388833263,1.5468646412981502,1.1461454168629694
2010-06-01,1.1726174814015962,1.09078883584701,1.0995617182719797
2010-07-01,1.1253663850088629,1.0137894935457568,1.092633156022263
2010-08-01,0.6274525865775791,0.535339629574815,0.7644233419642934
2010-09-01,0.14963694714003717,0.24357827838695972,-0.024197150380796714
2010-10-01,0.15132430910992006,0.43695652646156014,-0.24972488132203807
2010-11-01,-0.4464114259619566,-0.2927470146895226,-0.5344557337984036
2010-12-01,-0.47849417108930015,-0.34004550813555745,-0.6198824890176138
2011-01-01,-0.5366099674741229,-0.4043079756668649,-0.640117341604684
2011-02-01,-0.5559271740918971,-0.5515444792525739,-0.6369110368476142
2011-03-01,-0.5426267536451304,-0.5688480668587395,-0.6567744047362798
2011-04-01,-1.0346800324416223,-1.1828452608128817,-1.039342856610722
2011-05-01,-0.9039520760090266,-0.980039731379923,-0.970230723212037
2011-06-01,-0.7921376371665884,-0.7200284819776462,-0.8408065442451823
2011-07-01,-0.5893901153236251,-0.36327816293281007,-0.6723879637964482
2011-08-01,-0.22538927057788233,0.030860853953565616,-0.380995288602821
2011-09-01,-0.2336206675836607,0.2428771466360994,-0.5296276296781595
2011-10-01,0.8052118694218496,1.2450781038682495,0.7968821087988218
2011-11-01,1.2813480240136799,1.712974313290879,1.0597000519257902
2011-12-01,1.024678952996469,1.6542552835270579,0.6811594563414138
2012-01-01,0.8598230612690331,1.2545374627968946,0.5531002030133582
2012-02-01,0.46878284899464506,0.7265349870985764,0.3139241766403106
2012-03-01,0.02493513043908436,0.09345835364414475,0.015856677692419403
2012-04-01,0.33002906865562753,0.6183055663670937,0.1436531235399654
2012-05-01,0.03175297399080996,0.5814144538173927,-0.31503512222381813
2012-06-01,0.29488900946520746,0.608238326328007,0.1044489309935118
2012-07-01,0.618262900994837,0.9784309960769971,0.43893609970565034
2012-08-01,0.7963427193944184,1.0819346699436885,0.5828806710583208
2012-09-01,1.5585090672342683,1.478887307932124,1.3610626986742844
2012-10-01,1.0302629544636852,1.0838770730074314,0.5583541435304958
2012-11-01,0.6940614237238556,0.5350323635095796,0.2749189361536685
2012-12-01,0.8574017920599917,0.7615373476982242,0.48046932508387796
2013-01-01,0.8515303044610162,0.6087338299645337,0.44506479567386814
2013-02-01,0.6983539237887927,0.3501328883879271,0.33766606451628056
2013-03-01,0.6941445182761258,0.4596563133371501,0.3953856248657907
2013-04-01,0.9492445388011703,0.988291633590453,0.617831389487364
2013-05-01,0.8052169882477631,0.8387735700104321,0.6202328785886608
2013-06-01,0.5086369913647472,0.7325114489120885,0.2990453760018513
2013-07-01,0.5340350302286347,0.8491710885400925,0.37065843342462623
2013-08-01,0.7332500253868081,0.9914656881892633,0.5218663762396959
2013-09-01,0.5946844631968753,0.9211197130505011,0.31383728858801513
2013-10-01,-0.4551349086289109,-0.28188791048070055,-0.9508795332500807
2013-11-01,-0.2248824189352477,-0.008939945374194696,-0.6090153567203258
2013-12-01,0.07715182082510615,0.3409491661304466,-0.3992652063629654
2014-01-01,0.04482201634749849,0.14540686134447645,-0.41131884352229386
2014-02-01,0.12670220607979857,0.38932329939709964,-0.32554883547500896
2014-03-01,0.041960786729105214,0.296482303244778,-0.2725690780953917
2014-04-01,-0.4289230207405663,-0.17386700213490655,-0.5516681050263657
2014-05-01,-0.3641812402934277,-0.31574336994527397,-0.4330117703117831
2014-06-01,-0.5130844928912477,-0.537095869518865,-0.4244582491492914
2014-07-01,-0.34427048115349485,-0.45601279372912995,-0.26614151061674857
2014-08-01,-0.1737480750342633,-0.5081496993366496,-0.05382746354697708
2014-09-01,-0.4185034392868166,-0.6470764141277279,-0.3959321524852865
2014-10-01,0.23704868526288564,0.02672059120607037,0.025814858139685776
2014-11-01,0.18429683872779545,0.07363410493133714,-0.053226162279727575
2014-12-01,0.14540014672982818,-0.10456298109584483,-0.0810940428224502
2015-01-01,-0.017409899960388366,-0.2426085248070486,-0.21569871638227073
2015-02-01,-0.4329454817223861,-0.5922356061093651,-0.5268267521682323
2015-03-01,-0.7317581908407955,-0.9381062478749801,-0.826433767228807
2015-04-01,-0.3425614131133733,-0.45894711365061586,-0.32804875643817233
2015-05-01,-0.04766391042511962,-0.13164313611419667,0.06041865949072788
2015-06-01,0.16123126871375298,0.043063687643126576,0.3703859360186968
2015-07-01,0.3665097942008626,0.16487572158995054,0.615369215401079
2015-08-01,0.20599344992488292,-0.10233285991823855,0.5677878365040923
2015-09-01,0.5823681772549917,0.1114190320774839,1.1142749013347275
2015-10-01,0.21371002048170482,-0.3675328622541565,0.6847080890138212
2015-11-01,0.3647205897761164,-0.17793278735705428,0.8244036139403675
2015-12-01,0.41595696039554814,-0.10699804146661773,0.8860569083846795
2016-01-01,0.6379572233863166,0.3261991251504478,0.9711612167180066
2016-02-01,0.8005667507853746,0.631187153617275,0.9960823856317769
2016-03-01,0.6066901825984627,0.5635929809938953,0.7573428212552942
2016-04-01,0.8409440332741414,0.7666709733690955,0.95918657448289
2016-05-01,0.5928239715461042,0.6753582238921386,0.6462347579270857
2016-06-01,0.25495015034833646,0.531773964182378,0.15874831314366902
2016-07-01,0.06542858394075461,0.2711086690064303,0.011623341042471468
2016-08-01,-0.025109565474406258,0.11037377708572034,-0.012244809645163139
2016-09-01,0.18641071754103605,0.2700084026371291,0.32483773197267457
2016-10-01,-0.9047817903300722,-0.3251957580868573,-1.1198171415587115
2016-11-01,-0.7763300091419362,-0.46065458172931706,-0.5764128354529263
2016-12-01,-1.0795464279717846,-0.8883618014096031,-0.8972173764148274
2017-01-01,-1.214209169681044,-1.0466688974678935,-0.9601338550943356
2017-02-01,-0.7396786127376721,-0.6711053860018381,-0.5545766394756741
2017-03-01,-0.9420409776881604,-0.9901835638206569,-0.800316508979875
2017-04-01,-0.9974278493047827,-1.2360570964690303,-0.7419661015736919
2017-05-01,-0.9283310702653016,-1.4000801873677657,-0.949374023430837
2017-06-01,-0.6693853054910942,-1.2825005075061582,-0.5325569356400759
2017-07-01,-0.17641440957200288,-0.5206487702718235,-0.22074531340068254
2017-08-01,-0.22810423553411718,-0.29969547580159006,-0.39905690850102304
2017-09-01,0.26784004567793934,0.145156263355756,0.18358754623968104
2017-10-01,0.7432737101336184,0.9357828149149472,0.5655769633872803
2017-11-01,0.532946678592822,1.0458195536214328,0.04688301961698249
2017-12-01,0.3051745807730311,0.9432347602468194,-0.3111028431913973
2018-01-01,-0.022948989884081887,0.3718263487951568,-0.4912972481049624
2018-02-01,-0.23417759916354997,0.002654480630820397,-0.6060760928486436
2018-03-01,0.2809010499244673,0.5431852460010945,0.013143860694439085
2018-04-01,0.9643897426752172,1.3768881761686163,0.763678674007924
2018-05-01,1.4658754693706482,1.8372278421496415,1.326020617774364
2018-06-01,2.1536102177659013,2.663292286987559,2.107300795274033
2018-07-01,2.3496498504088184,2.849475344228663,2.2807692727051716
2018-08-01,2.340207517226082,2.791687639122107,2.3292077729932767
2018-09-01,1.7221141042129786,2.3512982870948487,1.6935467859149071
2018-10-01,0.8138469963235714,1.397009546832477,0.4172947962673503
2018-11-01,-0.27883325645508855,0.263770117537694,-0.6608115922433138
