2026-02-10 16:44:34,107 - INFO - Initializing Admin Coverage Check...
2026-02-10 16:44:34,107 - INFO - loading canonical boundaries...
2026-02-10 16:44:34,298 - INFO - Loaded KEN boundaries: 290 regions
2026-02-10 16:44:34,309 - INFO - Loaded SOM boundaries: 118 regions
2026-02-10 16:44:34,331 - INFO - Loaded ETH boundaries: 74 regions
2026-02-10 16:44:34,331 - INFO - Loaded 482 canonical Admin2 regions.
2026-02-10 16:44:34,331 - INFO - --- Checking Price Data ---
2026-02-10 16:44:37,507 - WARNING - No match found for 'Bench Sheko' (Best: Sheka, Score: 72)
2026-02-10 16:44:37,508 - WARNING - No match found for 'Mirab Omo' (Best: Ijara, Score: 60)
2026-02-10 16:44:37,510 - WARNING - No match found for 'Agnewak' (Best: Agnuak, Score: 77)
2026-02-10 16:44:37,512 - WARNING - No match found for 'SO2202' (Best: Soy, Score: 72)
2026-02-10 16:44:37,512 - WARNING - No match found for 'SO2201' (Best: Soy, Score: 72)
2026-02-10 16:44:37,513 - WARNING - No match found for 'SO2203' (Best: Soy, Score: 72)
2026-02-10 16:44:37,513 - WARNING - No match found for 'SO2204' (Best: Soy, Score: 72)
2026-02-10 16:44:37,514 - WARNING - No match found for 'SO2205' (Best: Soy, Score: 72)
2026-02-10 16:44:37,514 - WARNING - No match found for 'SO2206' (Best: Soy, Score: 72)
2026-02-10 16:44:37,514 - WARNING - No match found for 'SO2207' (Best: Soy, Score: 72)
2026-02-10 16:44:37,515 - WARNING - No match found for 'SO2209' (Best: Soy, Score: 72)
2026-02-10 16:44:37,515 - WARNING - No match found for 'SO2208' (Best: Soy, Score: 72)
2026-02-10 16:44:37,516 - WARNING - No match found for 'SO2210' (Best: Soy, Score: 72)
2026-02-10 16:44:37,516 - WARNING - No match found for 'SO2211' (Best: Soy, Score: 72)
2026-02-10 16:44:37,517 - WARNING - No match found for 'SO2212' (Best: Soy, Score: 72)
2026-02-10 16:44:37,517 - WARNING - No match found for 'SO2213' (Best: Soy, Score: 72)
2026-02-10 16:44:37,517 - WARNING - No match found for 'SO2214' (Best: Soy, Score: 72)
2026-02-10 16:44:37,518 - WARNING - No match found for 'SO2215' (Best: Soy, Score: 72)
2026-02-10 16:44:37,518 - WARNING - No match found for 'SO2216' (Best: Soy, Score: 72)
2026-02-10 16:44:37,519 - WARNING - No match found for 'SO2217' (Best: Soy, Score: 72)
2026-02-10 16:44:37,519 - WARNING - No match found for 'SO1902' (Best: Soy, Score: 72)
2026-02-10 16:44:37,519 - WARNING - No match found for 'SO1903' (Best: Soy, Score: 72)
2026-02-10 16:44:37,520 - WARNING - No match found for 'SO1904' (Best: Soy, Score: 72)
2026-02-10 16:44:37,520 - WARNING - No match found for 'SO1905' (Best: Soy, Score: 72)
2026-02-10 16:44:37,521 - WARNING - No match found for 'SO1901' (Best: Soy, Score: 72)
2026-02-10 16:44:37,521 - WARNING - No match found for 'SO1801' (Best: Soy, Score: 72)
2026-02-10 16:44:37,522 - WARNING - No match found for 'SO1802' (Best: Soy, Score: 72)
2026-02-10 16:44:37,522 - WARNING - No match found for 'SO1803' (Best: Soy, Score: 72)
2026-02-10 16:44:37,522 - WARNING - No match found for 'SO1804' (Best: Soy, Score: 72)
2026-02-10 16:44:37,523 - WARNING - No match found for 'SO1805' (Best: Soy, Score: 72)
2026-02-10 16:44:37,523 - WARNING - No match found for 'SO2001' (Best: Soy, Score: 72)
2026-02-10 16:44:37,524 - WARNING - No match found for 'SO2002' (Best: Soy, Score: 72)
2026-02-10 16:44:37,524 - WARNING - No match found for 'SO2003' (Best: Soy, Score: 72)
2026-02-10 16:44:37,525 - WARNING - No match found for 'SO2102' (Best: Soy, Score: 72)
2026-02-10 16:44:37,525 - WARNING - No match found for 'SO2103' (Best: Soy, Score: 72)
2026-02-10 16:44:37,526 - WARNING - No match found for 'SO2104' (Best: Soy, Score: 72)
2026-02-10 16:44:37,526 - WARNING - No match found for 'SO2101' (Best: Soy, Score: 72)
2026-02-10 16:44:37,526 - WARNING - No match found for 'SO2602' (Best: Soy, Score: 72)
2026-02-10 16:44:37,527 - WARNING - No match found for 'SO2603' (Best: Soy, Score: 72)
2026-02-10 16:44:37,527 - WARNING - No match found for 'SO2604' (Best: Soy, Score: 72)
2026-02-10 16:44:37,528 - WARNING - No match found for 'SO2605' (Best: Soy, Score: 72)
2026-02-10 16:44:37,528 - WARNING - No match found for 'SO2601' (Best: Soy, Score: 72)
2026-02-10 16:44:37,528 - WARNING - No match found for 'SO2606' (Best: Soy, Score: 72)
2026-02-10 16:44:37,529 - WARNING - No match found for 'SO2802' (Best: Soy, Score: 72)
2026-02-10 16:44:37,529 - WARNING - No match found for 'SO2803' (Best: Soy, Score: 72)
2026-02-10 16:44:37,530 - WARNING - No match found for 'SO2804' (Best: Soy, Score: 72)
2026-02-10 16:44:37,530 - WARNING - No match found for 'SO2801' (Best: Soy, Score: 72)
2026-02-10 16:44:37,531 - WARNING - No match found for 'SO2701' (Best: Soy, Score: 72)
2026-02-10 16:44:37,531 - WARNING - No match found for 'SO2702' (Best: Soy, Score: 72)
2026-02-10 16:44:37,531 - WARNING - No match found for 'SO2703' (Best: Soy, Score: 72)
2026-02-10 16:44:37,532 - WARNING - No match found for 'SO1602' (Best: Soy, Score: 72)
2026-02-10 16:44:37,532 - WARNING - No match found for 'SO1601' (Best: Soy, Score: 72)
2026-02-10 16:44:37,533 - WARNING - No match found for 'SO1603' (Best: Soy, Score: 72)
2026-02-10 16:44:37,533 - WARNING - No match found for 'SO1604' (Best: Soy, Score: 72)
2026-02-10 16:44:37,533 - WARNING - No match found for 'SO1605' (Best: Soy, Score: 72)
2026-02-10 16:44:37,534 - WARNING - No match found for 'SO1606' (Best: Soy, Score: 72)
2026-02-10 16:44:37,534 - WARNING - No match found for 'SO1702' (Best: Soy, Score: 72)
2026-02-10 16:44:37,535 - WARNING - No match found for 'SO1703' (Best: Soy, Score: 72)
2026-02-10 16:44:37,535 - WARNING - No match found for 'SO1701' (Best: Soy, Score: 72)
2026-02-10 16:44:37,536 - WARNING - No match found for 'SO1102' (Best: Soy, Score: 72)
2026-02-10 16:44:37,536 - WARNING - No match found for 'SO1101' (Best: Soy, Score: 72)
2026-02-10 16:44:37,536 - WARNING - No match found for 'SO1103' (Best: Soy, Score: 72)
2026-02-10 16:44:37,537 - WARNING - No match found for 'SO1104' (Best: Soy, Score: 72)
2026-02-10 16:44:37,537 - WARNING - No match found for 'SO1502' (Best: Soy, Score: 72)
2026-02-10 16:44:37,538 - WARNING - No match found for 'SO1501' (Best: Soy, Score: 72)
2026-02-10 16:44:37,538 - WARNING - No match found for 'SO1503' (Best: Soy, Score: 72)
2026-02-10 16:44:37,538 - WARNING - No match found for 'SO1402' (Best: Soy, Score: 72)
2026-02-10 16:44:37,539 - WARNING - No match found for 'SO1401' (Best: Soy, Score: 72)
2026-02-10 16:44:37,539 - WARNING - No match found for 'SO1403' (Best: Soy, Score: 72)
2026-02-10 16:44:37,540 - WARNING - No match found for 'SO1404' (Best: Soy, Score: 72)
2026-02-10 16:44:37,540 - WARNING - No match found for 'SO1301' (Best: Soy, Score: 72)
2026-02-10 16:44:37,540 - WARNING - No match found for 'SO1302' (Best: Soy, Score: 72)
2026-02-10 16:44:37,541 - WARNING - No match found for 'SO1303' (Best: Soy, Score: 72)
2026-02-10 16:44:37,541 - WARNING - No match found for 'SO1304' (Best: Soy, Score: 72)
2026-02-10 16:44:37,542 - WARNING - No match found for 'SO1202' (Best: Soy, Score: 72)
2026-02-10 16:44:37,542 - WARNING - No match found for 'SO1203' (Best: Soy, Score: 72)
2026-02-10 16:44:37,543 - WARNING - No match found for 'SO1201' (Best: Soy, Score: 72)
2026-02-10 16:44:37,543 - WARNING - No match found for 'SO2502' (Best: Soy, Score: 72)
2026-02-10 16:44:37,544 - WARNING - No match found for 'SO2505' (Best: Soy, Score: 72)
2026-02-10 16:44:37,544 - WARNING - No match found for 'SO2503' (Best: Soy, Score: 72)
2026-02-10 16:44:37,545 - WARNING - No match found for 'SO2504' (Best: Soy, Score: 72)
2026-02-10 16:44:37,545 - WARNING - No match found for 'SO2501' (Best: Soy, Score: 72)
2026-02-10 16:44:37,546 - WARNING - No match found for 'SO2401' (Best: Soy, Score: 72)
2026-02-10 16:44:37,546 - WARNING - No match found for 'SO2402' (Best: Soy, Score: 72)
2026-02-10 16:44:37,546 - WARNING - No match found for 'SO2403' (Best: Soy, Score: 72)
2026-02-10 16:44:37,547 - WARNING - No match found for 'SO2404' (Best: Soy, Score: 72)
2026-02-10 16:44:37,547 - WARNING - No match found for 'SO2302' (Best: Soy, Score: 72)
2026-02-10 16:44:37,548 - WARNING - No match found for 'SO2303' (Best: Soy, Score: 72)
2026-02-10 16:44:37,548 - WARNING - No match found for 'SO2304' (Best: Soy, Score: 72)
2026-02-10 16:44:37,548 - WARNING - No match found for 'SO2301' (Best: Soy, Score: 72)
2026-02-10 16:44:37,549 - WARNING - No match found for 'SO2305' (Best: Soy, Score: 72)
2026-02-10 16:44:37,549 - WARNING - No match found for 'SO2306' (Best: Soy, Score: 72)
2026-02-10 16:44:37,550 - WARNING - No match found for 'SO2307' (Best: Soy, Score: 72)
2026-02-10 16:44:37,550 - INFO - --- Checking Crop Data ---
2026-02-10 16:44:37,550 - INFO - Loading Crop Data...
2026-02-10 16:44:37,550 - INFO - Aggregating 24 crop mask files...
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0001.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0001.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0011.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0011.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0018.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0018.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0008.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0008.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0009.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0009.parquet'
