month,commodity_group,usdprice,spi_1,spi_3,spi_6,spi_12,spi_24,energy_index,food_index,spi_drought_1,spi_flood_1,spi_drought_3,spi_flood_3,spi_drought_6,spi_flood_6,spi_drought_12,spi_flood_12,spi_drought_24,spi_flood_24,selected_scale
2022-12-01,Oil (vegetable),4.135,0.1218444426506518,-0.0082308525817608,0.071607088014372,-0.60339280462814,-0.5189976570336249,130.91804770227,129.53682717013,0.0,0.0,0.0,0.0,0.0,0.0,-0.60339280462814,0.0,-0.5189976570336249,0.0,24
2023-01-01,Oil (vegetable),3.74,0.1858426876279116,-0.3585755300821771,0.1458188760705384,-0.6283096158757777,-0.4724169107651417,119.29483540626,130.03158857915,0.0,0.0,0.0,0.0,0.0,0.0,-0.6283096158757777,0.0,0.0,0.0,24
2023-02-01,Oil (vegetable),3.73,-0.6181290623056253,-0.2814240741658605,-0.0331295825085016,-0.6568202421199271,-0.506482909558988,110.53012409471,131.01661483669,-0.6181290623056253,0.0,0.0,0.0,0.0,0.0,-0.6568202421199271,0.0,-0.506482909558988,0.0,24
2023-03-01,Oil (vegetable),3.515,1.6017508819839628,1.3672050018825082,0.7193427133070164,0.0886455184024361,0.056450089569467,103.46584154991,127.57177657921,0.0,1.6017508819839628,0.0,1.3672050018825082,0.0,0.7193427133070164,0.0,0.0,0.0,0.0,24
2023-04-01,Oil (vegetable),3.715,0.7214409773500486,1.226654845162994,0.9231263042105676,0.4303254142327949,0.1244255417974461,109.26437084516,130.94954906766,0.0,0.7214409773500486,0.0,1.226654845162994,0.0,0.9231263042105676,0.0,0.0,0.0,0.0,24
2023-05-01,Oil (vegetable),3.5949999999999998,0.2066170604523767,1.1540128268175829,0.9914501197720396,0.7964630892932544,0.0152481160729993,96.90788941533,126.89120262473,0.0,0.0,0.0,1.1540128268175829,0.0,0.9914501197720396,0.0,0.7964630892932544,0.0,0.0,24
2023-06-01,Oil (vegetable),3.7649999999999997,0.3060678614144696,0.6107174020774861,1.1499792258534585,0.8161524998563887,0.1448717221569499,95.17403636424,122.56024269314,0.0,0.0,0.0,0.6107174020774861,0.0,1.1499792258534585,0.0,0.8161524998563887,0.0,0.0,24
2023-07-01,Oil (vegetable),3.66,-0.2951476762909717,0.1210019705610853,0.9928537287882536,0.7935391397930576,0.0194955063819716,100.85881612729,123.93484932699,0.0,0.0,0.0,0.0,0.0,0.9928537287882536,0.0,0.7935391397930576,0.0,0.0,24
2023-08-01,Oil (vegetable),3.64,-0.8881729254457659,-0.4632724409044079,0.7160630990879708,0.4833671881472922,-0.1598184610051715,108.71200636355,121.6673676867,-0.8881729254457659,0.0,0.0,0.0,0.0,0.7160630990879708,0.0,0.0,0.0,0.0,24
2023-09-01,Oil (vegetable),3.63,0.4115672019426031,-0.2422705265600523,0.2001909809946306,0.5088868985906824,-0.1542639210967037,117.72930651723,124.46096201781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088868985906824,0.0,0.0,24
2023-10-01,Oil (vegetable),3.475,0.7322661993947731,0.3681888329934206,0.4065859544566067,0.807827043358081,0.1379344203093622,115.68359866876,122.56674846001,0.0,0.7322661993947731,0.0,0.0,0.0,0.0,0.0,0.807827043358081,0.0,0.0,24
2023-11-01,Oil (vegetable),3.6,1.8525215550037777,1.3642941212521635,0.928052754759437,1.4038436015821931,0.6469490900232462,106.19514291231,123.67270965732,0.0,1.8525215550037777,0.0,1.3642941212521635,0.0,0.928052754759437,0.0,1.4038436015821931,0.0,0.6469490900232462,24
2023-12-01,Oil (vegetable),3.58,-0.5276498480236869,1.2175327203325053,0.8035989238249502,1.412937543181959,0.6663525351134978,99.6081618902,120.00502603147,-0.5276498480236869,0.0,0.0,1.2175327203325053,0.0,0.8035989238249502,0.0,1.412937543181959,0.0,0.6663525351134978,24
