target,horizon,spatial_fold,temporal_fold,n_train,n_val,rmse,mae,mape,r2,n,KEN_mape,SOM_mape
c_maize_fao,1,1,1,9401,2604,5353.959548292463,2719.333898520755,0.09536457680000529,0.9080581406083009,2604,0.13039713795058097,0.08103307451113341
c_maize_fao,1,1,2,14141,744,6669.022971560853,3976.7581845913137,0.1075890553136028,0.8951343239065063,744,0.18861178611147125,0.07444339271447481
c_maize_fao,1,2,0,3953,6192,8736.1081846344,4972.808918498487,0.10340740228234166,0.03964773284096346,6192,0.10340740228234166,
c_maize_fao,1,2,1,7973,3612,6938.5400389854385,4134.305230217713,0.0809155953217776,0.5063926333765049,3612,0.0809155953217776,
c_maize_fao,1,2,2,11993,1032,6754.460932374766,5227.402157339156,0.08862441972047783,-0.11427603635739247,1032,0.08862441972047783,
c_maize_fao,1,3,0,5487,2448,1074.6973452557816,767.5404740556705,0.07023768626894562,0.950273322847305,2448,,0.07023768626894562
c_maize_fao,1,3,1,11067,1428,943.880992926839,699.961386759782,0.060254001166170044,0.963842867592616,1428,,0.060254001166170044
c_maize_fao,1,3,2,16647,408,1182.5309409026006,874.9429965150122,0.06514102163382235,0.9529431397725437,408,,0.06514102163382235
c_maize_fao,1,4,0,5664,2016,1244.952048329545,928.7515937199668,0.07531800589168054,0.907440491503789,2016,,0.07531800589168054
c_maize_fao,1,4,1,11424,1176,1083.2420696516622,797.9608072086256,0.06069127650210128,0.922051935044181,1176,,0.06069127650210128
c_maize_fao,1,4,2,17184,336,1205.539035215893,867.5575254603793,0.05753709614369766,0.9043416484384608,336,,0.05753709614369766
c_maize_fao,2,0,0,4248,5472,7774.560941970436,4520.416441097443,0.10367435124417158,0.3293293976289111,5472,0.10309246156145976,0.11414836553298444
c_maize_fao,2,0,1,8568,3192,5586.589491152696,3578.0108967625965,0.08137600048146211,0.7115285626964409,3192,0.07991701034178199,0.1076378229957041
c_maize_fao,2,0,2,12888,912,5998.110731591781,4521.299672586278,0.0859826158409046,0.620933997484963,912,0.08500146108281302,0.10364340148655339
c_maize_fao,2,1,0,4661,4464,7412.875816296694,4056.9053322697027,0.15707658403176922,0.7937746914954515,4464,0.2163439592815703,0.13283083961139605
c_maize_fao,2,1,1,9401,2604,6484.389531864809,3578.81778344314,0.133801098823778,0.8651343644352426,2604,0.16698172195084526,0.12022720754452319
c_maize_fao,2,1,2,14141,744,8098.5982625446895,5028.623010516423,0.14395048391454993,0.8453575767671677,744,0.23118356185282463,0.108264224757983
c_maize_fao,2,2,0,3953,6192,9302.854872353226,5591.015247802985,0.1192204297702124,-0.08899792102432147,6192,0.1192204297702124,
c_maize_fao,2,2,1,7973,3612,7651.860488013858,4828.449872296202,0.09693357295899771,0.3996845490378007,3612,0.09693357295899771,
c_maize_fao,2,2,2,11993,1032,7964.2625586288505,6391.02860097178,0.10914091417515237,-0.5491823506391746,1032,0.10914091417515237,
c_maize_fao,2,3,0,5487,2448,1489.837394682353,1068.2513946333743,0.09543969471849219,0.9044358878862289,2448,,0.09543969471849219
c_maize_fao,2,3,1,11067,1428,1748.7655940967584,1286.629345347514,0.11256588703583174,0.8758854495449074,1428,,0.11256588703583174
c_maize_fao,2,3,2,16647,408,2034.5135727368904,1496.960903080959,0.1085802027571993,0.860710267728014,408,,0.1085802027571993
c_maize_fao,2,4,0,5664,2016,1700.9223191924539,1252.931943204365,0.09945635505059303,0.8272234684269671,2016,,0.09945635505059303
c_maize_fao,2,4,1,11424,1176,1759.93548610857,1270.8248346819196,0.09294815872253191,0.7942462315451468,1176,,0.09294815872253191
c_maize_fao,2,4,2,17184,336,1991.0300765810412,1521.1518475632442,0.09936592309402352,0.7390748276567802,336,,0.09936592309402352
c_maize_fao,3,0,0,4248,5472,8287.587564045374,4968.770401483309,0.11587666285610383,0.2378967986044097,5472,0.11393354772140575,0.15085273528066867
c_maize_fao,3,0,1,8568,3192,6396.376380632234,4369.323792915953,0.10133697873756106,0.6218384929213596,3192,0.09888381617048708,0.14549390494489287
c_maize_fao,3,0,2,12888,912,6890.991014587255,5187.038876367351,0.09887545754387074,0.4996784094525337,912,0.0966263948537397,0.13935858596622935
c_maize_fao,3,1,0,4661,4464,7627.777004794874,4396.554135895322,0.18233058104681654,0.781644322369744,4464,0.2230847555498841,0.16565841875010706
c_maize_fao,3,1,1,9401,2604,6502.750032709121,3749.333218928511,0.1498309669651492,0.8643695410774525,2604,0.1669008564158019,0.14284783037170035
c_maize_fao,3,1,2,14141,744,9020.151343285057,5646.807906192246,0.16706100581003758,0.808161140792644,744,0.2541468393043632,0.13143498301690434
c_maize_fao,3,2,0,3953,6192,9713.67197201457,5967.138898678747,0.128657392528341,-0.187302618700236,6192,0.128657392528341,
c_maize_fao,3,2,1,7973,3612,8075.881691426142,5285.673332172905,0.10818813575927876,0.33130922609200897,3612,0.10818813575927876,
c_maize_fao,3,2,2,11993,1032,8732.455425550306,7162.540406205299,0.12305610661200642,-0.8624480063896165,1032,0.12305610661200642,
c_maize_fao,3,3,0,5487,2448,2557.0245871072207,1807.8377727433747,0.15608916250089738,0.7184944927910089,2448,,0.15608916250089738
c_maize_fao,3,3,1,11067,1428,2209.4616664340747,1682.5276647709866,0.14771456668021593,0.8018781200345241,1428,,0.14771456668021593
c_maize_fao,3,3,2,16647,408,2561.90207586514,1916.6356502278643,0.13985859072125384,0.7791369974948883,408,,0.13985859072125384
c_maize_fao,3,4,0,5664,2016,2323.475943175448,1698.5769043550038,0.12901487867168873,0.6776021387457705,2016,,0.12901487867168873
c_maize_fao,3,4,1,11424,1176,2130.6444470574006,1606.7632198992876,0.11878001485508721,0.6984382416721551,1176,,0.11878001485508721
c_maize_fao,3,4,2,17184,336,2554.0728457548485,2035.8131716192333,0.13211608191230192,0.5706347451494453,336,,0.13211608191230192
c_sorghum,1,0,0,4248,5472,540.8906729458679,335.2533782699898,0.057459694850225056,0.9505106016522351,5472,0.05561139412903731,0.09072910783160418
c_sorghum,1,0,1,8568,3192,599.8596260149748,369.7938297398324,0.0557991867217283,0.9519656697771612,3192,0.05406208632885085,0.08706699379352245
c_sorghum,1,0,2,12888,912,675.9315264894988,364.60778489633645,0.03923533846586015,0.9489521340664687,912,0.0364558112809724,0.08926682779383961
c_sorghum,1,1,0,4661,4464,2150.7974600016532,957.9194979114601,0.08014371329669347,0.8952791454449196,4464,0.036724726117039884,0.09790602623382448
c_sorghum,1,1,1,9401,2604,2302.9820707460926,1074.7297833223824,0.07757682558158704,0.9069292964415767,2604,0.03344447492244966,0.09563096903305233
c_sorghum,1,1,2,14141,744,2687.935909351337,1517.956675670993,0.09163160217228383,0.8987325963816737,744,0.05178456789953053,0.1079326616475011
c_sorghum,1,2,0,3953,6192,323.71222759157416,224.65509061719243,0.04531137788612816,0.9504472586677069,6192,0.04531137788612816,
c_sorghum,1,2,1,7973,3612,367.9615104983001,277.08336795968285,0.05233937916299244,0.9413709331538533,3612,0.05233937916299244,
c_sorghum,1,2,2,11993,1032,388.0976601195518,298.7491362123242,0.04200055854293861,0.8645306935144176,1032,0.04200055854293861,
c_sorghum,1,3,0,5487,2448,8791.292357263683,4731.087974155401,0.1689926088502077,0.33304668645826374,2448,,0.1689926088502077
c_sorghum,1,3,1,11067,1428,11323.058392321442,6995.433666957993,0.21613438272219945,0.0697938037201733,1428,,0.21613438272219945
c_sorghum,1,3,2,16647,408,11654.378345208881,7751.166043868718,0.1953862684744405,0.25829927294232435,408,,0.1953862684744405
c_sorghum,1,4,0,5664,2016,3406.144466244217,1554.924947044736,0.09024424477538187,0.766312723356608,2016,,0.09024424477538187
c_sorghum,1,4,1,11424,1176,3700.5576265394075,1808.768499315742,0.0910901138686809,0.7669757416741749,1176,,0.0910901138686809
c_sorghum,1,4,2,17184,336,3121.5625867020217,1960.5185861932662,0.08799216490013372,0.8869546995793081,336,,0.08799216490013372
c_sorghum,2,0,0,4248,5472,849.6629530042322,521.3027153874008,0.08488595181839788,0.8778800679444746,5472,0.0827850892461042,0.12270147811968382
c_sorghum,2,0,1,8568,3192,985.6977344574042,671.3952988261243,0.10290639070741765,0.8702999954564079,3192,0.10151699152626503,0.12791557596816508
c_sorghum,2,0,2,12888,912,989.2615931849621,641.3219176590701,0.07089134411539072,0.890656119666182,912,0.06807476772909933,0.12158971906863551
c_sorghum,2,1,0,4661,4464,2857.8839914094424,1394.796812219107,0.1177779649031745,0.8151057781697222,4464,0.05495111722024129,0.14347985713710174
c_sorghum,2,1,1,9401,2604,2975.1020520386005,1575.4213987570201,0.11954758316413373,0.8446770543716108,2604,0.06736743997973414,0.14089400537593355
c_sorghum,2,1,2,14141,744,3472.856257773789,2108.686395434308,0.13219845564953814,0.8309537764972891,744,0.0847444888032804,0.15161144208664354
c_sorghum,2,2,0,3953,6192,551.088017306287,372.6644682180146,0.07307952291466314,0.8563877744246395,6192,0.07307952291466314,
c_sorghum,2,2,1,7973,3612,632.5323126797615,470.84996254652185,0.0883800050624192,0.8267498464047967,3612,0.0883800050624192,
c_sorghum,2,2,2,11993,1032,639.6829758779797,480.85151897946275,0.06700057775718199,0.6319655740575909,1032,0.06700057775718199,
