country_name,admin2_name,mae,mape,mean_actual,n
KEN,Wajir West,6596.846497705853,0.1281420534712528,44381.68892857143,252
KEN,Kitui Central,6676.989613870288,0.1279420144920313,43747.97142857143,504
SOM,DINSOOR,1028.5745284598215,0.12305635758173955,9114.344722222222,252
KEN,Saku,6239.394478236608,0.12296662806583661,43635.26794312169,252
SOM,QANSAH DHEERE,1098.688906327505,0.12111438990169127,9694.183412698414,252
KEN,Moyale,6186.638727058532,0.11995408608370367,44187.28267857143,252
SOM,AFGOI,1102.7550640966022,0.11845606421085146,9447.861111111111,252
SOM,JOWHAR,1141.0056205434648,0.11815836174295896,9550.449484126984,504
SOM,BULO BURTI,1408.1621671937005,0.1162425415879978,11793.95246031746,504
KEN,Laisamis,5779.8915799054,0.11463487946052223,42626.5405952381,252
SOM,BELET HAWA,1549.9225285993302,0.11451442932683202,13317.815674603175,252
SOM,KISMAYO,1607.2790864490328,0.11428914786565487,13234.245238095238,252
SOM,AFMADOW,1381.9288717215402,0.11392631912950404,11993.299365079365,504
KEN,Baringo South,5417.437093357309,0.1136605575381554,39716.356626984125,252
SOM,HUDUR,2040.2411960565478,0.11358625921091763,17587.013134920635,252
KEN,Kajiado East,5487.875126333085,0.11249768662913022,41090.951428571425,504
SOM,LUUQ,1457.62599655878,0.11232215536414034,12888.05865079365,252
KEN,North Horr,5551.945160280258,0.11147457592182124,42744.39283730158,252
KEN,Nithi,5478.703442305308,0.11061676352288256,40065.735714285714,504
SOM,EL BARDE,1524.9380109126982,0.10885698945419203,13956.409722222223,504
SOM,ADALE,1169.7157994636657,0.1079800417795729,10273.724206349207,252
KEN,Fafi,5131.722979807374,0.1075860867716408,43297.20280423281,252
KEN,Samburu East,5362.763741629465,0.1075799504533979,40818.56868055555,252
KEN,Tiaty,5302.987806919643,0.10753203884443358,40763.24076719577,252
KEN,Mathira,5174.017138361855,0.1073433866673514,40193.928452380955,504
KEN,Makueni,5440.550109126985,0.10703414887611813,41511.58603174603,504
SOM,JALALAQSI,1146.3027446831597,0.10696334420185732,10482.100198412698,504
KEN,Isiolo North,5408.853632709161,0.10536764406186348,42431.87661375661,504
SOM,KARAN,1033.1645145089285,0.10524230518859119,10226.49107142857,252
KEN,Samburu West,4975.0153539393195,0.10517033331636713,39040.887136243386,252
KEN,Embakasi North,4706.727990141369,0.10480979230123343,39034.23369047619,504
KEN,Kisumu Central,5329.5672123015875,0.10472554297753225,41679.27109126984,252
KEN,Turkana East,5062.426066512542,0.10177305752546796,40683.12613945579,252
SOM,TALEH,767.8996277436756,0.10170108845604933,7355.793293650793,252
SOM,EYL,774.3957140531994,0.10129385622363103,7570.035396825397,252
KEN,Samburu North,5174.571798380811,0.10112672043224442,41613.585096371884,252
KEN,Mathare,4372.717198970734,0.09961574950014362,38916.95638888889,504
SOM,ERIGAVO,1245.066373000372,0.09898193681348728,11980.858293650794,252
KEN,Langata,4362.05107390873,0.09809193150952615,39033.60162698413,504
KEN,Makadara,4362.249365854415,0.09754627287353171,39222.369781746034,504
SOM,RABDURE,1345.0089681764632,0.09709553314967045,13757.43734126984,252
SOM,DUSAMREB,1308.607056439112,0.09666503025378856,13693.175793650793,504
SOM,GARDO,793.357046906002,0.09618475129946824,8054.690952380953,252
KEN,Isiolo South,4863.993541253307,0.09616094458684636,41839.54005291005,504
SOM,GAROWE,850.286599702381,0.09589007719499293,8628.521507936508,252
KEN,Starehe,4131.034818793402,0.09511120404901321,38459.03722222223,504
KEN,Turkana Central,4447.767837921627,0.0940870349104871,39857.25167989418,252
SOM,BOSSASO,1914.0796272011407,0.09371933376901707,19936.14146825397,252
KEN,Westlands,4022.942493334574,0.09350885242727648,38102.52071428572,504
KEN,Matungulu,4314.5213149491565,0.09350321700713615,39662.713373015875,504
KEN,Tigania East,4395.033041449653,0.09248468141872865,39857.2003968254,504
KEN,Galole,4512.329164000496,0.09248025034245351,40896.67861111111,252
KEN,Turkana South,4377.917376715443,0.09192827673918796,39657.11132936508,252
KEN,Dujis,4349.050463634672,0.0914931936775804,41138.87081349207,504
KEN,Kilimani,3939.7779282924107,0.09115083100526371,38431.644484126984,504
KEN,Mvita,4032.644403521825,0.09061484185634985,39086.97515873016,252
